Name	Affiliation	coFirst	coLast	Corresponding	Lazy	Illiterate
Author One	"An Institute, London, UK"	T				
Author One	"Another Institution, Somewhere Else"					
Author Two	"Science Unit, Boston, USA"	T		T		
Author Three	"An Institute, London, UK"					
Author Three	"Another Institution, Somewhere Else"					
Author Three	St Elsewhere Hospital				T	T
Author Four	St Elsewhere Hospital		T			
Author Five	"An Institute, London, UK"		T			
Author Five	"Another Institution, Somewhere Else"					
Author Five	"National Academy of Etymology, Another Place"					
